"ID","NODES","EDGES","TOT_MOVES","LEADER_MOVES","SHADOWS"
"1e75da27-31c7-4b9f-b167-d58581b2d50f","35","436","128","7","12",
"d4b33bc1-8669-4102-a9fe-b46c67897299","35","419","869","155","19",
"94a16f43-49e0-460d-946f-67185e8d06f9","35","442","326","35","17",
"83c64023-50a2-4733-a4ad-0bb0ef5d29aa","35","444","1053","184","18",
"83914676-b2f6-41e4-9a50-7868ef4a3487","35","462","1033","170","18",
"f1df9979-ec21-43c8-8e38-262de3dd56de","35","542","1454","281","23",
"b106cf05-4366-462f-9c47-90c3983aa132","35","448","438","40","17",
"f1f28355-d7c4-492d-955c-4b0cf26cf5e2","35","505","2116","503","32",
"95bf2423-b607-4f02-b944-2965a2119786","35","450","394","39","17",
"f4a090d9-3cdf-4c4d-baa5-5555373b131e","35","469","303","21","19",
"18583333-b84a-48d4-bc20-c33397e2e51c","35","457","1760","393","25",
"e39e9629-9fbb-4425-aebb-34ef7da5dfee","35","465","966","153","17",
"d63e65b1-7d50-419c-98a8-3e40ab2d032c","35","446","587","77","15",
"6b3503af-381f-40aa-bf32-6b8e94e28722","35","418","183","15","12",
"fa60ddc5-0f6f-4015-9dee-44ae576973c2","35","465","906","136","14",
"75e9e376-54ea-45f1-976e-a0f7c2b857b9","40","577","1525","281","21",
"125a8d75-7bcf-4cbc-8dd3-36e7b1c7ec25","40","571","403","36","20",
"6ca5e7ed-abdc-47a2-aaea-2f12067893ce","40","564","300","21","18",
"752ffbfd-8fd0-44ee-98c3-8ff13399c8c5","40","596","2101","434","31",
"20044675-e43d-43de-be7d-1d436f788cf1","40","588","2012","421","28",
"77d2601e-4c40-48d9-824a-e3145b50aad6","40","547","209","12","17",
"d96c95e5-035a-472c-a47c-ff8c1d76f640","40","626","378","30","21",
"00b59297-fe57-4afb-b88d-d0ea12ed4eb5","40","627","236","9","24",
"078a1719-d06a-4cc3-a7b4-fe384d70ba28","40","503","195","11","19",
"0a451847-8543-4a69-82e3-8b0c39b1a4c2","40","645","326","18","21",
"cb56c4e9-59c4-4d23-bb7c-f304d3028586","40","580","1638","304","21",
"28bf0992-53f7-4e92-8102-a286c2a6debb","40","591","412","39","20",
"6f490081-b082-4a22-8b71-f2d4d44eecc4","40","623","417","40","23",
"a4fbab19-54ac-425a-a357-f80272a94528","40","532","337","23","17",
"ea5e8afa-4929-476e-a010-472e86247363","40","558","107","2","19",
"5265be31-12a4-424e-a2a3-81ea9eae0219","40","633","2433","549","29",
"fd5dbafc-cbd7-4a36-bf3b-b5ce065bccf3","40","579","116","0","18",
"021affcb-9aa4-40d6-8621-620040c38a3b","40","523","227","20","16",
"c8c1aa89-419d-43b9-bb91-4a945b1ce206","40","546","2043","452","29",
"9aa7ec69-9187-4c0f-8be1-bd5912527015","40","568","1849","357","25",
"1bdd8eee-a699-407b-9977-c2abc205c7cb","45","754","3351","751","42",
"f62ce849-ca44-4f4b-b21e-57b9bdacd508","45","723","3083","720","34",
"a759caf0-2e6d-4dc7-a106-cd89f3818d44","45","700","211","12","18",
"577ec3c7-c350-4f72-b222-d19e275579e5","45","843","238","9","29",
"1b89757d-be4b-4659-982d-ca487e53857a","45","664","576","72","17",
"3aaa29e8-2fed-443b-ba71-2b530b6d8369","45","717","802","101","21",
"4cf1922b-3d4e-4e1b-8332-c39db3b04558","45","737","2220","446","28",
"e7255f8e-c0c2-4021-b2ec-aafd2d5b7456","45","821","325","13","27",
"980ba9ff-798d-4a62-a341-e5306ebcd159","45","796","2367","485","30",
"997b6eed-9043-41a1-87ca-2b01cbc7aaf6","45","744","163","5","21",
"e6f7face-4e1a-4d88-95f7-a5cc965ed891","45","705","519","56","20",
"55f59194-4f01-4582-9b1d-57d0cbd4ac20","45","790","391","32","24",
"9d8ceadb-e854-48ed-97c7-7d0e2d7d526c","45","760","399","27","24",
"fe18c757-7c85-411a-8b78-6f00ae9dc4be","45","790","420","34","24",
"40ded56f-70d0-4476-8d24-8c52c632b457","45","723","1344","208","19",
"ac287f5c-4f28-4084-8b71-c312ffcb7e9d","45","786","1988","360","26",
"99a22590-5032-45ac-b243-cf7ce866e95b","45","782","103","0","23",
"a9f37a85-1452-44a0-b8f1-5bf67b5567a2","45","745","2301","459","33",
"02490234-0d26-4689-917d-e12c4f192d64","45","718","156","5","19",
"f1882f64-2d4f-470d-8d3d-19bb5394db9d","45","800","172","3","23",
"53bbab55-10b4-4f92-afa8-2f961fff6323","50","787","2688","576","27",
"8eabe593-257a-4d33-b20f-aaa3e56711b5","50","941","260","13","25",
"42b7267b-4a62-47cd-b6ca-73a3319b7845","50","937","2794","523","33",
"c3b3b3e5-998e-4604-9693-28fc37542e27","50","958","287","14","27",
"5abef5bc-5c25-4ce0-a107-c17f62428a30","50","951","751","83","27",
"7f788a76-9e4c-451f-8f33-c83e79fa3f96","50","972","116","0","27",
"5e71ad5b-227f-48bf-86c0-b6ebcbb58719","50","920","151","2","28",
"b5f71893-5a55-4769-a479-47d845c03fcf","50","1000","133","0","29",
"59c0f3d1-f998-4d9a-bd11-37b843a64320","50","921","445","33","25",
"857533fd-7506-47d4-a810-b8df292fcb89","50","915","1432","227","23",
"3af6de5f-f18b-437d-9927-d23bbb95cd42","50","935","580","50","26",
"8d5bb511-b8f4-4bca-9d42-841b42ca4455","50","966","730","78","26",
"8408fbc2-19c9-43f2-8545-06a324c4e14b","50","829","124","0","18",
"0b5d48ce-3437-4aec-b2e7-82da9ca2e0d3","50","896","141","2","22",
"4f04369b-7be5-4c74-8cb7-1a5f8c1aa11a","50","882","110","0","20",
"e6923433-f23c-4016-a5eb-51bf701078b8","50","960","983","112","26",
"2d3c65b8-49b2-4339-a5ac-416e9d2cf179","50","937","992","137","26",
"2111dd6b-7271-48b2-918c-0dc5bb35c456","50","965","766","88","26",
"cb934c73-2a22-49ef-acac-411a0fdf06a3","50","995","124","0","24",
"f35afdf8-3baa-4cde-bfcb-ad51923eb62f","50","862","401","32","23",
