"ID","NODES","EDGES","TOT_MOVES","LEADER_MOVES","SHADOWS"
"dc73d380-2db4-4662-9b49-f86131761aab","45","757","541","40","26",
"44425a82-0462-4c26-947c-280d8d56c1fe","45","738","161","2","21",
"e1ba8d53-91c5-41c7-8854-60a875da060b","45","691","120","0","21",
"3785b553-6900-4bcc-87da-5dc2a1da11df","45","748","158","5","17",
"11c0951a-52af-419e-9e8a-b2d80566fb00","45","839","3521","759","39",
"9201d3dd-7fe0-4e3c-9db6-0f7b56b0bb5f","45","746","160","2","24",
"2f2ffb62-b9d7-4bad-a23d-01b5425a2f78","45","778","167","4","22",
"99a7169b-2fce-4aae-9219-944411b90b04","45","812","1234","176","23",
"7e0291d4-2dbb-4fc4-98cd-74e854470d6b","45","716","2060","388","28",
"79753505-8963-47f8-bd7b-a781cd4dddec","45","704","398","32","20",
"8bcaedc2-903e-4629-bdac-1959e0a0935b","45","767","404","25","25",
"c33eed7d-b3f0-41c8-9be7-2c2cea9bec27","45","837","2805","595","32",
"652a2251-b117-4637-a6c3-d0bca2a555e4","45","658","502","68","18",
"a526faf0-d344-4206-ba17-32d9b37255c7","45","861","2094","375","26",
"4dc534ef-c9bb-47c4-9eac-a72fe7cf40eb","45","809","576","48","25",
"96873da9-e99c-487b-b751-6aef6eb0d73d","45","719","370","30","21",
"4b3ee876-5cfa-4b1c-a621-cbcb90a06514","45","745","1326","201","22",
"7e2b7410-7c07-4021-bffb-bd33ab94e737","45","771","134","0","20",
"27ec4edd-0a03-4c62-8f24-ad4506acceef","45","835","215","5","26",
"5ad00fdd-8a2d-4a7b-b7de-154b4ca085a7","50","933","210","7","28",
"fbfeb061-be84-41ed-9dc6-ed089860b95f","50","996","300","12","26",
"9d50072d-00ec-428e-a15e-c48413cf7446","50","973","866","106","26",
"e4a80718-6606-49df-8f7c-cac83df62463","50","933","1006","142","27",
"d84b61ee-bc4c-44cf-8054-eb508daadce6","50","902","806","103","25",
"a0ca78bb-3718-4cc2-8c90-eb2b274d1262","50","921","342","15","23",
"66d4b41f-5d61-40c0-9d38-a552d973b870","50","938","279","14","27",
"098fec0d-d14a-4fe9-99ad-28acabf49a73","50","862","162","3","22",
"b15f9665-d724-464b-868b-fe2b51509a1b","50","920","172","4","23",
"6ffb3060-2d7b-48ea-ba84-f35a5faed980","50","919","104","0","21",
"ad85078e-59e2-48dd-9058-61fb1586a326","50","901","1762","292","24",
"af5224ca-d0a4-47f9-8980-3fba188addf7","50","926","231","8","24",
"2ba4eb7c-0316-41df-87d3-1f48c1b8b61a","50","922","984","131","25",
"c6e3fe28-cf74-4f5b-81eb-0375c32e1bd8","50","914","112","0","21",
"7daa639d-da72-4b84-88da-89e34c50f806","50","834","447","49","20",
"0cfd8ff4-3b37-4471-a98a-bcc5a4e535fd","50","891","1008","143","24",
"15095b7f-9731-4152-94ee-8c1624b30849","50","912","545","47","24",
"18cbac3e-2a14-454f-9d87-ce4dfcb1eac9","50","978","3970","903","38",
"e81dc695-eb77-4a7d-bea4-e7fb9a6d3240","50","884","742","92","21",
"e4759980-26c6-45ef-996d-3b4e70bc19d7","50","967","244","4","26",
"af9d031b-5f0a-412d-b337-6de1656b0487","50","866","3869","862","42",
