"ID","NODES","EDGES","TOT_MOVES","LEADER_MOVES","SHADOWS"
"be124627-b0ae-47b8-8ac7-a12ddca956fe","35","459","1623","344","25",
"6d7bee1f-bc4a-45e7-978b-5e10aff20bba","35","438","357","34","15",
"dbff0e46-797d-4364-a953-7e60a63c5ace","35","407","1028","197","19",
"f0a84431-c469-4156-8e78-252920abdffd","35","393","641","106","13",
"7ba80bea-fd7a-47dc-a4a1-55b446780908","35","452","1596","330","24",
"358948cf-de83-4d78-93a4-f6c79c88929a","35","446","295","24","18",
"95a6a714-622c-4cea-a8d4-5d33a3fe74cf","40","598","1191","198","19",
"dc47de7b-9756-4279-a48e-7a01af030359","40","590","195","9","23",
"0c537202-a43d-40df-b29b-1541419372c2","40","565","162","5","22",
"6d261195-aa36-48b2-afe9-d8bc059c530f","40","612","2651","583","31",
"38338c63-f39d-4a39-8c9e-ce37606909f6","40","598","179","8","17",
"5d0b86ec-1165-44a9-81b3-5b7116e0fe77","40","617","2270","502","28",
"9ab6532c-2564-43f1-b99a-d5febaafbf6a","40","598","96","0","18",
"e4783571-c0f0-41af-901d-ed65fab393b0","40","595","363","27","19",
"73d04253-aa33-4c20-9846-597d74c0531e","40","562","142","2","20",
"98c52df2-4dfe-42be-ba5d-3a53c295ae0b","40","585","909","136","21",
"60bc13ea-9eb5-448e-89b5-67bd0d4d0254","40","559","903","143","21",
"1760c64b-8103-4bdb-b999-987143842943","40","621","191","5","22",
"57da8d1d-6e95-4e06-9148-04779b04d1ea","40","630","331","27","21",
"0a458832-aeb7-4775-87fd-e91564332631","40","568","1802","354","25",
"922dbca0-2ca5-4273-9b4a-361fb2e3db67","40","638","497","46","19",
"a39877d3-ff78-4514-b50c-015560d12333","40","661","1973","412","28",
"45f0fa9f-02b8-40cf-bf39-7309296d2994","40","634","1518","265","24",
"8facde91-f264-4b8c-8cd6-f746fb88d652","40","536","120","2","19",
"3148a7f3-a43b-4ed0-af1c-6950da803504","40","618","1378","234","22",
"90573881-1dfe-49d2-831d-412b552fbdfd","40","560","370","34","20",
"cd45d7f8-2bf5-4243-92aa-87d5840e4d58","45","702","165","5","22",
"5988fd25-0fa9-4e9e-a89a-5e671c9e48bf","45","789","848","99","28",
"2c0ce660-0970-43f4-8fc3-d8e7c45b361e","45","767","805","107","24",
"1341fc57-efef-4d6c-8c29-48b0a2c7b74c","45","759","2232","441","28",
"c406efbb-6fbf-4ca4-ae96-5c0d56f3b732","45","712","1405","230","22",
"14d3fddc-5025-4b70-97ec-cabc91d03817","45","736","803","115","17",
"29eda3ad-a969-486c-94c3-4892c4881a2f","45","785","637","56","25",
"2337fe46-6a3f-472c-ad1f-4334f15c54e3","45","684","197","8","20",
"0ea3023e-9773-45b8-9d7c-88bd528f8cf3","45","717","258","15","21",
"a2db7e69-fdc3-4ebd-8e78-ec07ebd6be48","45","763","2123","408","30",
"0afd95a2-616e-41d3-b432-a75bd5ab09ca","45","783","2903","635","34",
"ff07bb5a-5552-4fee-b68e-2549dc22484f","45","705","2359","505","28",
"6b1d9488-f0bf-4974-aa23-7f2cec529a46","45","718","175","5","24",
"0687eb6b-e154-46ab-88f3-39230b52f8fe","45","802","760","85","26",
"2433e059-24c5-4953-9b3f-c1d10b5152c9","45","787","2235","432","32",
"fbe422fd-1ec2-4401-9014-f8550e800cff","45","802","1891","346","24",
"cd4f1874-8ba5-48ed-8c0b-908f495fcdf4","45","785","552","36","25",
"6f908346-b19f-49ac-8751-721c19efe59a","45","764","1572","285","23",
"abedc7ad-2fe1-4630-8cbd-de67f2631919","45","740","232","12","21",
"25d191f6-fcfe-425d-8976-ae917b784220","45","702","861","109","23",
"36012375-075c-4377-9823-0eb3903c6edc","50","916","549","41","25",
"67eed0e9-5e18-40d7-b3b5-3343d739345e","50","985","215","4","32",
"3a17b755-5de0-4f12-ba50-1d253df1e3c8","50","906","301","18","23",
"b4bd40dd-2bbb-4271-8c1d-e6272e31c551","50","938","171","2","26",
"8e86f4ef-fdd3-499c-ad1d-987bb2f5d28f","50","901","299","16","23",
"e1c83611-ed52-4fc6-8300-e4a0633f280e","50","881","213","9","24",
"7b0006eb-2b81-4cd3-843b-a46af2fbeb1a","50","919","266","14","27",
"03d22f8c-2cbf-45c3-a311-36741474cfa5","50","979","4263","935","45",
"eefdb3b1-7dae-4269-b994-e133a807a75c","50","891","1737","266","28",
"ca77b03f-c005-4fa5-b884-9f10ae4a757d","50","884","1344","192","25",
"6e34306c-4616-4eba-93a8-41e57a1c1667","50","917","1136","162","27",
"1f43a5ec-a6da-4f48-91f1-223c127acdb2","50","880","3623","807","36",
"349ab295-7c3d-4faa-83d9-5ffa24b9a382","50","954","113","0","22",
"c5e0d032-1bf4-43cb-96d1-aab5a22798b3","50","912","3097","622","37",
"5b97aaca-6d9e-41f3-8686-053ec3e6bbd4","50","850","3160","703","32",
"cf9baf2f-8dbf-495f-b5c5-357b76fbcedf","50","869","175","4","21",
"f4109675-71cf-4ea9-83cf-b6f738c3b7c8","50","873","1112","153","24",
"72207570-d2e6-40e7-b269-e12854bfb76a","50","989","321","14","28",
"bbbd18f5-0ebc-4b13-ab97-606fcdd8ce76","50","1016","1193","141","29",
"718d45e3-43ee-4297-a314-3f05d03b7986","50","881","207","6","24",
